1|32fcd7220aab|當收發機顯示語音訊號之載波頻率時，正確操作在上單邊帶(USB)模式發射可調整之最高顯示頻率為何?|C|||頻帶上限值以下300 赫|頻帶上限值以下1 千赫|頻帶上限值以下3 千赫|頻帶上限值
2|612a4a64f020|當收發機顯示語音訊號之載波頻率時，正確操作在下單邊帶(LSB)模式發射可調整之最低顯示頻率為何?|A|||頻帶下限值以上3 千赫|頻帶下限值|頻帶下限值以上300 赫|頻帶下限值以上1 千赫
3|8c26f7afbf2e|當你聽到某電臺正在呼叫CQ，收發機目前顯示語音訊號的載波頻率為14.349 百萬赫 USB時，請問是否可在這個頻率使用USB回應該電臺的呼叫?|D|||可以，因為你不是呼號CQ的電臺|不可以，我國電臺不允許在14.340 百萬赫以上的頻率發射語音電波|可以，因為該頻率在20公尺頻段內|不可以，訊號之單邊帶會超出頻段範圍
4|671c439f5952|當你聽到遠方某電臺正在呼叫CQ，收發機目前顯示語音訊號的載波頻率為3.551 百萬赫 LSB時，請問是否可在這個頻率使用LSB回應該電臺的呼叫?|B|||可以，因為該顯示頻率在75公尺頻段內|不可以，訊號之單邊帶會超出頻段範圍|可以，因為該遠方電臺開啟了通聯|不可以，我國電臺不允許在3.56 百萬赫以下的頻率發射語音電波
5|7542d86047ca|40公尺頻段最大的發射功率為何?|C|||50瓦特 PEP 發射功率相對於全向性(isotropic)天線|50瓦特 PEP 發射功率相對於偶極天線|1500瓦特 PEP 發射功率相對於半波偶極天線|100瓦特 PEP 發射功率相對於全向性( isotropic)天線
6|cbb377e8d41f|假設在無線電訊息轉發系統上電臺無意間轉發了會違反NCC法規的訊息，誰是違規的主要負責者?|D|||所有此系統中的業餘無線電人員及管理員|所有此系統中未被授權使用此通訊系統的業餘無線電人員及管理員|封包無線電電子布告欄的管理員|原始發送訊息的業餘無線電人員
7|03267f78b37c|假如你的數位無線電訊息轉發電臺無意間轉發了違反NCC法規的通訊，你應該先作什麼處置?|B|||告知最近的NCC管制單位|當你發現了此事件，儘快中斷該件違法的轉發通訊|中斷所有的轉發訊息|告知原始發送電臺該訊息不符合NCC法規
8|4de88b0ac77e|假如業餘無線電臺船舶上使用，在正式操作前什麼條件必須符合?|B|||當船舶上主要的無線電在使用時，業餘無線電臺操作者必須同意不可發射業餘無線電臺|該操作必須由船長核准|業餘無線電操作者的操作執照必須包括NCC同意船舶使用|業餘無線電臺的電源供應器必須是獨立於船舶本身電源以外
9|b0858343c733|當你聽到遠方某電臺正在呼叫CQ，收發機目前顯示CW訊號的載波頻率為3.500 百萬赫時，請問是否可在這個頻率使用CW回應該電臺的呼叫?|B|||可以，因為該頻率在80公尺頻段內|不可以，CW訊號之單邊帶會超出頻段範圍|可以，因為該遠方電臺開啟了通聯|不可以，我國電臺不允許在3.5125 百萬赫以下的頻率發射CW
10|9c44c319908e|在中華民國國籍的船舶上操作業餘無線電臺資格為何?|D|||只有該業餘無線電臺執照登載之所屬者|任何該業餘無線電臺執照登載之所屬者|只有具船舶電信專長之人員|任何擁有NCC核發符合該電臺等級(含)以上之業餘無線電人員執照者
11|64b13e9dd018|何者為0.1357~0.1378百萬赫最大發射功率(EIRP)?|D|||200 瓦特|100 瓦特|10 瓦特|1 瓦特
12|1354d564c75f|下列何者構成了混附(spurious)發射?|C|||發射訊號無意中干擾了其他有執照之無線電臺|發射的訊號除了接收者外防止其他電臺偵測到|發射訊號超出了載波頻寬，而減少或去除這超出的頻寬，不影響所傳送資訊。|業餘無線電臺沒有呼號識別的隨機發射
13|2995295068fb|下列何者可能造成業餘無線電臺或天線之設置地點的限制?|B|||在被一個或多個其他國外政府所管轄的ITU Zone|航空站飛行場助航設備周邊地區|有藝術重要性的地區|接近有政治衝突的地區
14|1610c9337539|為保護NCC監測站不被干擾，業餘無線電臺使用頻率介於9 千赫至174 百萬赫間之無線電波之電場強度不得超過下列何者?|C|||40 分貝微伏每公尺|200 分貝微伏每公尺|80 分貝微伏每公尺(dBuV/m)|160 分貝微伏每公尺
15|0a71e57c8c24|假如你要在機場附近架設業餘無線電天線，什麼額外的規定必須遵守?|B|||假如天線結構高度低於10公尺，則沒有特別規定|必須符合航空站飛行場助航設備四周禁止限制建築物及其他障礙物高度管理辦法之規定|必須向機場管理單位取得建造許可|在架設之前，必須向行政院環境保護署提出環境影響評估
16|13b18554d63c|使用業餘無線電頻率432~440百萬赫(次要業務)應遵守什麼規定？|C|||一等業餘電臺的發射功率(PEP)不得大於200瓦特|須忍受合法通信妨害性干擾|以上皆是|不得干擾主要業務
17|bd3cbcb165f6|什麼是電臺的遙控控制作業?|B|||電臺由非電臺負責人之他人控制操作|電臺藉由控制鏈路間接調校、控制無線電通信作業|電臺由原本常設之地點移至他處操作|電臺操作為自動控制
18|4a4d53d13434|什麼是電臺的自動控制作業?|D|||電臺的輸出功率自動控制|指控制點和受控制的電臺之間的控制鏈路|利用直接控制鏈路來遠端控制電臺的天線系統|依控制員設定之設備及程序，自動調校、控制無線電通信作業，故操作員可不用在控制點
19|212913746943|自動控制電臺中的控制操作者所需負的責任與非自動控制電臺(即席控制電臺)有何不同?|A|||自動控制電臺操作員不需要位於控制點|自動控制電臺無控制操作員|即席控制電臺操作員不需要位於控制點|即席控制電臺無控制操作員
20|8a2e1c01ad16|何時自動控制電臺可啟動第三者通信?|B|||當NCC同意時|皆不可以，但與我國訂有互惠協定者，不在此限|當傳送及接收方同意時|只有當傳送RTTY或其他數位模式時
21|1ec0fe0105fa|下列何者有關業餘無線電臺遙控控制作業的描述是正確的?|B|||只有三等業餘無線人員可採遙控控制作業操作電臺|控制操作員需要在控制點|控制操作員可不用在控制點|中繼電臺不可採遙控控制作業
22|be604fe8b409|何謂即席控制作業?|B|||採自動控制作業操作電臺|指在電臺內直接調校、控制無線電通信作業|透過現場輔助鏈路控制一座電臺|由手持收發機控制中繼臺
23|c6ef1338912a|30 百萬赫以下的頻段，下列何者中繼電臺可操作範圍?|D|||24.940 百萬赫 - 24.990 百萬赫|10.100 百萬赫 - 10.150 百萬赫|18.110 百萬赫 - 18.168 百萬赫|29.510 百萬赫 - 29.590 百萬赫
24|6a29e8866c65|何種型式的業餘無線電中繼電臺可自動轉發其他業餘無線電電臺的訊號?|C|||只有地球、中繼電臺或遙控模型|只有示標和太空電臺|只有中繼和太空電臺|只有示標、中繼和太空電臺
25|9baafc2ddf40|何種型式的通訊可傳送至我國以外的業餘無線電臺?|D|||涉及公眾電信業務之通訊|以上皆是|轉發非業餘無線電臺之訊息|與業餘業務相關基於個人本質之通訊
26|c4b2f85a319e|非本國籍業餘無線電人員在我國境內短期操作業餘電臺規定為何?|C|||必須以我國官方語音標示辯明自己正在操作|該國大使館核准你的操作|經全國性業餘無線團體向NCC申請核准|你需要在你的呼號上加上 "/CEPT"於後綴
27|af27af8c8f69|下列何者為遙測的定義?|C|||超過1000公尺的雙向無線電話傳輸|起動、修改或終止遠距設備功能的單向傳輸|離測量儀器一定距離處的單向測量傳輸|雙向單通道資料傳輸
28|59429f8f0590|什麼是業餘衛星服務？|B|||使用地球衛星上的電臺進行公共廣播的無線電通信業務|在衛星上使用業餘無線電臺的無線電通信業務|使用衛星進行自我訓練的無線電導航業務，業餘愛好者進行的互通和技術研究|用於業餘衛星的太空飛行器發射服務
29|8599a3a2f3ff|什麼是業餘衛星業務中的指揮電臺|C|||對大氣層進行遙測的業餘電臺|位於地球表面的業餘電臺，通過地球衛星與其他地球站通信|傳送無線電信號以指揮太空電臺之起動、修正或停止作業之業餘電臺|位於地球表面以上50公里以上的業餘電臺
30|83a694405085|在業餘衛星業務中的地球電臺是什麼?|C|||不能使用業餘衛星進行通信的業餘電臺|對大氣層進行遙測的業餘電臺|設置於距離地球表面50公里以內，擬與太空電臺或經由其他一或數具太空上之載具與其他地球電臺通信之業餘電臺|任何位於地球表面的業餘電臺
31|3eae053de6df|哪一種等級的執照可被授權操作太空電臺|B|||二等|一等|只允許非業餘等級|三等
32|1f3e0f66cb3d|下列何者為對特殊電臺的要求?|A|||特殊電臺控制員必須能夠在接獲NCC通知其傳送內容違反規定時，應即時停止發射|以上皆是|特殊電臺必須在五年後停止所有傳輸|特殊電臺必須能夠在接到國防部命令時變更頻率
33|b926d8dc3aa5|哪些HF業餘頻段授權給太空電臺使用？|C|||所有高頻頻段|40公尺、30公尺、20公尺及15公尺頻段|10公尺頻段|20公尺、17公尺及15公尺頻段
34|8b4a911ccb88|太空電臺可用哪些VHF業餘頻段?|A|||6公尺及2公尺頻段|2公尺及1.25公尺頻段|6公尺、2公尺及1.25公尺頻段|只有2公尺頻段
35|800a000f60b8|太空電臺可用哪些UHF業餘頻段?|A|||70公分及23公分頻段|70公分及33公分頻段|33公分及13公分頻段|只有70公分頻段
36|8b89ec17adef|哪些地球電臺的描述為正確?|C|||領有執照者已預先知會NCC的任一業餘電臺|允許一等及二等業餘無線電人員進行操作|只允許一等業餘無線電人員進行操作的業餘電臺|允許一等、二等與三等業餘無線電人員進行操作
37|3c81930e5b27|下列何種之業餘無線電操作被禁止?|A|||具有任何營利性質之通訊|以英文以外之語言通訊|具宗教內容之通訊|具政治內容之通訊
38|1da948390b70|下列何種可適用於展頻(Spread Spectrum)通訊實驗之發射情形?|A|||以上皆是|展頻通訊時不可干擾正常通訊之電臺|展頻通訊必須經NCC核准|展頻通訊必須不能與其他通訊方式混淆
39|f8b0b4b0a69b|業餘無線電展頻(Spread Spectrum)通訊實驗之最高發射機輸出功率為何?|C|||1 瓦特|1.5 千瓦特|100 瓦特|1.5 瓦特
40|e273921dceaa|下列何種敘述，符合外接射頻功率放大器之規定?|C|||在接受小於等於5瓦特之輸入能產生合法全功放|必須在全功輸出範圍達到比0 dB或更小的增益|當設計之輸出功率在1500瓦特以下時，應相對降低其放大倍率|必須能於輸入及輸出網路中切換
41|d887ed0312d2|什麼情形才可以從事業餘無線電作業？|B|||不須經主管機關測試及格，只須取得業餘無線電人員執照|須經主管機關測試及格，並取得業餘無線電人員執照|只須經主管機關測試及格，不須取得業餘無線電人員執照|不須經主管機關測試及格，亦不須取得業餘無線電人員執照
42|256a68e1cff4|取得業餘無線電人員執照後，可以做下列什麼操作？|A|||以上皆非|即可用於客運車行車調度之用|即可用於遊覽車行車調度之用|即可用於卡車行車調度之用
43|b77e7426615a|運輸業(含客運車、砂石車、遊覽車等)司機或隨車人員考取業餘無線電人員執照，亦不得於車上做行車業務使用，違反規定者，依電信法第67條之1第3項規定處的罰鍰為新臺幣1萬元以上、多少元以下？|A|||5萬元|7萬元|10萬元|3萬元
