LK0001|我国现行法律体系中专门针对无线电管理的最高法律文件及其立法机关是：|B||[A]中华人民共和国无线电管理办法，工业和信息化部|[B]中华人民共和国无线电管理条例，国务院和中央军委|[C]中华人民共和国电信条例，国务院|[D]中华人民共和国业余无线电台管理办法，工业和信息化部
LK0002|我国现行法律体系中专门针对业余无线电台管理的最高法律文件及其立法机关是：|A||[A]业余无线电台管理办法，工业和信息化部|[B]中华人民共和国电信条例，国务院|[C]业余无线电台管理暂行规定，国家体委和国家无委|[D]个人业余无线电台管理暂行办法，国家体委和国家无委
LK0003|我国的无线电主管部门是：|D||[A]各地电信管理局|[B]各级体育管理机构|[C]各地业余无线电协会|[D]各级无线电管理机构
LK0004|我国依法负责对业余无线电台实施监督管理的机构是：|B||[A]国家体育管理机构和地方体育管理机构|[B]国家无线电管理机构和地方无线电管理机构|[C]在国家或地方民政部门注册的业余无线电协会|[D]国家和地方公安部门
LK0005|《业余无线电台管理办法》所说的“地方无线电管理机构”指的是：|B||[A]地方业余无线电协会或者类似组织机构|[B]省、自治区、直辖市无线电管理机构|[C]各地方与无线电设备生产销售和无线电应用有关的行政管理机构|[D]地市县（区）及以下各级无线电管理机构
LK0011|国家鼓励和支持业余无线电台开展下列活动：|B||[A]休闲娱乐性交谈|[B]无线电通信技术研究、普及活动以及突发重大自然灾害等紧急情况下的应急通信活动|[C]机动车辆行车服务性通信活动|[D]作为日常公益活动的通信工具
LK0012|关于业余电台管理的正确说法是：|A||[A]依法设置的业余无线电台受国家法律保护|[B]业余无线电爱好者的一切行为都受国家法律保护|[C]通过法律手段限制业余无线电台的设置|[D]在业余电台与其他业务电台遇到干扰纠纷时无条件优先保护其他业务电台
LK0104|无线电频率的使用必须得到各级无线电管理机构的批准，基本依据是“无线电频谱资源属于国家所有”，出自于下列法律：|D||[A]中华人民共和国民法通则|[B]中华人民共和国刑法|[C]中华人民共和国电信法|[D]中华人民共和国物权法
LK0007|我国对无线电管理术语“业余业务”、“卫星业余业务”和“业余无线电台”做出具体定义的法规文件是|B||[A]中华人民共和国无线电管理条例|[B]中华人民共和国无线电频率划分规定|[C]中华人民共和国电信条例|[D]无线电台执照管理规定
LK0008|业余电台的法定用途为：|D||[A]供公民在业余时间进行休闲娱乐|[B]供私家车主或者相应组织作为行车安全保障和途中消遣工具|[C]供公民在业余时间进行与个人生活事务有关的通信|[D]供业余无线电爱好者进行自我训练、相互通信和技术研究
